Title,Description,genres,revised_genres,genre_cat_list
Lucy in the Sky,"Astronaut Lucy Cola returns to Earth after a transcendent experience during a mission to space, and begins to lose touch with reality in a world that now seems too small.","Drama, Romance, Thriller","['Drama', 'Romance', 'Thriller']","[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Queen & Slim,A couple's first date takes an unexpected turn when a police officer pulls them over.,"Crime, Drama, Romance","['Crime', 'Drama', 'Romance']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
An Officer and a Spy,"In 1894, French Captain Alfred Dreyfus is wrongfully convicted of treason and sentenced to life imprisonment at Devil's island.","Drama, History, Thriller","['Drama', 'History', 'Thriller']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Spanking the Monkey,"A med student is forced by his traveling salesman dad to cancel a top summer internship and look after his hot mom, who's bedridden with a broken leg. Applying lotion to her legs arouses him.","Comedy, Drama","['Comedy', 'Drama']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
YPF,"On a Tuesday night, five couples have separate sexual adventures.","Comedy, Drama, Romance","['Comedy', 'Drama', 'Romance']","[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Daddio,A woman taking a cab ride from JFK engages in a conversation with the taxi driver about the important relationships in their lives.,Drama,['Drama'],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Detective Knight: Redemption,"In custody in New York, Detective James Knight finds himself in the middle of a jailbreak led by The Christmas Bomber, a brutal fanatic whose Santa Claus disciples are terrorizing the city. With the promised return of his badge in exchange for taking out the terrorists, the steely-eyed Knight doles out mercy for the just...and merciless justice for all the rest.","Action, Adventure, Mystery","['Action', 'Adventure', 'Mystery']","[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
RocketMan,Fred Z. Randall is a geeky spacecraft designer who gets the chance to make his dream come true and travel to Mars.,"Comedy, Family, Sci-fi, Sci-fi","['Comedy', 'Family', 'Sci-fi', 'Sci-fi']","[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Siberia,"When an American diamond trader's Russian partner goes missing, he journeys to Siberia in search of him, but instead begins a love affair.","Crime, Drama, Romance","['Crime', 'Drama', 'Romance']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
The Football Factory,"An insight on the gritty life of a bored male, Chelsea football hooligan who lives for violence, sex, drugs & alcohol.","Crime, Drama, Sport","['Crime', 'Drama', 'Sport']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
PCU,"A high school senior visits college for the weekend, and stays at the wildest house on campus.",Comedy,['Comedy'],"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
A Real Young Girl,"Reluctantly, a sulky adolescent returns to her parents' house for yet another boring summer vacation, dabbling in desire and the art of desirability, eventually mixing reality with vision, caged fantasies with the fierce female sexuality.",Drama,['Drama'],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Program,"Several players from different backgrounds try to cope with the pressures of playing football at a major university. Each deals with the pressure differently, some turn to drinking, others to drugs, and some to studying.","Action, Drama, Romance","['Action', 'Drama', 'Romance']","[1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Undercover Brother,"When ""The Man"" tries to derail a black candidate's presidential campaign, Undercover Brother and his fellow secret agents come to the rescue.","Action, Comedy","['Action', 'Comedy']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Weather Man,"A Chicago weather man, separated from his wife and children, debates whether professional and personal success are mutually exclusive.","Comedy, Drama","['Comedy', 'Drama']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Devil Girl from Mars,"An uptight, leather-clad female alien, armed with a ray gun and accompanied by a menacing robot, comes to Earth to collect Earth's men as breeding stock.","Horror, Sci-fi, Sci-fi","['Horror', 'Sci-fi', 'Sci-fi']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
The Miracle Worker,The story of Anne Sullivan's struggle to teach the blind and deaf Helen Keller how to communicate.,"Biography, Drama","['Biography', 'Drama']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Roxanne,The large-nosed C.D. Bales is in love with the beautiful Roxanne; she falls for his personality but another man's looks.,"Comedy, Romance","['Comedy', 'Romance']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Jonah Hex,"The U.S. military makes a scarred bounty hunter with warrants on his own head an offer he cannot refuse: in exchange for his freedom, he must stop a terrorist who is ready to unleash Hell on Earth.","Action, Drama, Fantasy","['Action', 'Drama', 'Fantasy']","[1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Life in a Year,The movie follows 17-year-old Daryn who finds out that his girlfriend is dying. He sets out to give her an entire life in the last year she has left.,"Drama, Romance","['Drama', 'Romance']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Boys in the Band,Tempers fray and true selves are revealed when a heterosexual accidentally intrudes on a homosexual party.,Drama,['Drama'],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Pieles,"In a strange world where people share numerous deformities, the same problem we all face challenges each of them: to find someone who accepts you as you are. Sometimes, that means finding yourself first.","Comedy, Drama, Fantasy","['Comedy', 'Drama', 'Fantasy']","[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
I Know Who Killed Me,"A young woman who was missing reappears, but she claims to be someone else entirely.","Horror, Mystery, Thriller","['Horror', 'Mystery', 'Thriller']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Margrete: Queen of the North,"1402. Queen Margrete is ruling Sweden, Norway and Denmark through her adopted son, Erik. But a conspiracy is in the making and Margrete finds herself in an impossible dilemma that could shatter her life's work: the Kalmar Union.","Biography, Drama, History","['Biography', 'Drama', 'History']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Dreams,A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.,"Drama, Fantasy","['Drama', 'Fantasy']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Carry on Jack,"This is the tale of Albert Poop-Decker, a newly commissioned Midshipman (although he took 8 1/2 years to qualify). He joins the frigate Venus, and adventures through Spanish waters, mutinee and Pirates taking his Captain, his sweet-heart and his best-friend with him! With mistaken identities and shipwrecks awash, it's a surprise any of them live to tell the tale!","Adventure, Comedy, Romance","['Adventure', 'Comedy', 'Romance']","[0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Hooper,"Aging Hollywood stuntman Sonny Hooper wants to prove that he's still got what it takes to be a great professional in this risky, under-recognized line of work.","Action, Comedy","['Action', 'Comedy']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Panama,"An ex-marine is hired by a defense contractor to travel to Panama to complete an arms deal. In the process he becomes involved with the U.S. invasion of Panama, and learns an important lesson about the true nature of political power.","Action, Thriller","['Action', 'Thriller']","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Death Wish II,"Architect Paul Kersey once again becomes a vigilante when he tries to find the five street punks who murdered his daughter and housekeeper, this time on the dark streets of Los Angeles.","Action, Crime, Drama","['Action', 'Crime', 'Drama']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Ask Me Anything,"A confused teenager writes a blog revealing her daily activities and secrets, advised to do so by her high school guidance counselor in lieu of moving on to her first year in college.",Drama,['Drama'],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Blue My Mind,An outwardly normal teenage girl faces overwhelming body transformations that put the very nature of her existence into question.,"Drama, Fantasy, Horror","['Drama', 'Fantasy', 'Horror']","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Kidnapped,A Jewish boy is kidnapped and converted to Catholicism in 1858.,"Drama, History","['Drama', 'History']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Some Girls,"Michael flies up to French Canada to visit his girlfriend and her wacky family. She doesn't love him anymore, the grandma mistakes him for her late husband, the sister appears naked and makes advances, the dad likes to be naked as well.","Comedy, Drama, Fantasy","['Comedy', 'Drama', 'Fantasy']","[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Ophelia,"A reimagining of Hamlet, told from Ophelia's perspective.","Drama, Romance, Thriller","['Drama', 'Romance', 'Thriller']","[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Blues Brothers 2000,"Elwood must reunite the old band, with a few new members, and go on another ""Mission from God.""","Action, Comedy, Crime","['Action', 'Comedy', 'Crime']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Hercules in New York,Hercules is sent to Earth where he finds true love and starts a promising career in the bodybuilder business.,"Adventure, Comedy, Fantasy","['Adventure', 'Comedy', 'Fantasy']","[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
I Can't Think Straight,A young woman engaged to be married finds her life changed forever when she meets her best friend's girlfriend.,"Drama, Romance","['Drama', 'Romance']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Triple Threat,"When a billionaire's daughter intent on bringing down a major crime syndicate is targeted by a group of professional assassins, a team of mercenaries must stop them before they kill her.","Action, Thriller","['Action', 'Thriller']","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Healer,"A young man suddenly discovers that he has the gift of healing. As he tries to understand it and the new reality it offers, a teenage girl with terminal cancer unexpectedly shows him the way.","Comedy, Drama, Family","['Comedy', 'Drama', 'Family']","[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SubUrbia,A group of suburban teenagers try to support each other through the difficult task of becoming adults.,"Comedy, Drama","['Comedy', 'Drama']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Ghost and Mrs. Muir,"In 1900, a young widow finds her seaside cottage is haunted and forms a unique relationship with the ghost.","Comedy, Drama, Fantasy","['Comedy', 'Drama', 'Fantasy']","[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Autumn in New York,"Romantic drama about an aging playboy who falls for a sweet, but terminally ill, young woman.","Drama, Romance","['Drama', 'Romance']","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3096 Tage,A young Austrian girl is kidnapped and held in captivity for eight years. Based on the factual case of Natascha Kampusch.,"Biography, Crime, Drama","['Biography', 'Crime', 'Drama']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Christine,"The story of Christine Chubbuck, a 1970s TV reporter struggling with depression and professional frustrations as she tries to advance her career.","Biography, Drama","['Biography', 'Drama']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sometimes I Think About Dying,"Fran, who likes to think about dying, makes the new guy at work laugh, which leads to dating and more. Now the only thing standing in their way is Fran herself.","Comedy, Drama, Romance","['Comedy', 'Drama', 'Romance']","[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Delta Force,"After a plane is hijacked by terrorists, The Delta Force is sent in to resolve the crisis.","Action, Adventure, Drama","['Action', 'Adventure', 'Drama']","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Pirate Movie,A 1980s take-off of The Pirates of Penzance which centers on a noble pirate who leaves his profession and falls in love with a fiery young maiden.,"Adventure, Comedy, Musical","['Adventure', 'Comedy', 'Musical']","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
A Savannah Haunting,"A family loses their young daughter in a tragic drowning and moves to Savannah, only to be haunted by her presence in their new home.",Horror,['Horror'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
My Life as a Dog,"In the late '50s, young Ingemar learns a lot about life and himself when he is sent away from his sick mother to live with his aunt and uncle in a town full of eccentrics.","Drama, Comedy","['Drama', 'Comedy']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sissy,"Teen best friends Cecilia and Emma, run into each other after a decade. Cecilia is invited to Emma's bachelorette weekend where she gets stuck in a remote cabin with her high school bully and a taste for revenge.","Comedy, Drama, Horror","['Comedy', 'Drama', 'Horror']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
X,A veteran call girl and a runaway prostitute witness a murder and must evade the killer as he chases them through Sydney.,"Crime, Drama, Thriller","['Crime', 'Drama', 'Thriller']","[0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Chup,A crime thriller in which police are on the hunt for a killer who is targeting film critics.,"Crime, Drama, Mystery","['Crime', 'Drama', 'Mystery']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Year of the Dragon,A police detective cracks down on organized crime in Chinatown after the murders of Triad and Mafia leaders.,"Action, Crime, Drama","['Action', 'Crime', 'Drama']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Runner Runner,"When a poor college student who cracks an online poker game goes bust, he arranges a face-to-face with the man he thinks cheated him, a sly offshore entrepreneur.","Crime, Mystery, Thriller","['Crime', 'Mystery', 'Thriller']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Envy,A man becomes increasingly jealous of his friend's newfound success.,Comedy,['Comedy'],"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
My Cousin Rachel,"A young Englishman plots revenge against his late cousin's mysterious, beautiful wife, believing her responsible for his death. But his feelings become complicated as he finds himself falling under the beguiling spell of her charms.","Drama, Mystery, Romance","['Drama', 'Mystery', 'Romance']","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Flesh Gordon,"Emperor Wang is leader of the planet Porno and sends his mighty ""Sex Ray"" towards Earth, turning everyone into sex-mad fiends. Only one man can save the Earth, football player Flesh Gordon","Comedy, Sci-fi, Sci-fi","['Comedy', 'Sci-fi', 'Sci-fi']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
W.,A chronicle of the life and Presidency of George W. Bush.,"Biography, Comedy, Drama","['Biography', 'Comedy', 'Drama']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Shaun the Sheep Movie,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.","Animation, Adventure, Comedy","['Animation', 'Adventure', 'Comedy']","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Lockout,A man wrongly convicted of conspiracy to commit espionage against the U.S. is offered his freedom if he can rescue the President's daughter from an outer-space prison taken over by violent inmates.,"Action, Sci-fi, Sci-fi, Thriller","['Action', 'Sci-fi', 'Sci-fi', 'Thriller']","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Pawn Shop Chronicles,"An anthology of stories involving meth addicted white supremacists, a man looking for his kidnapped wife and an Elvis impersonator.","Action, Comedy, Crime","['Action', 'Comedy', 'Crime']","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
The Bob's Burgers Movie,"When a sinkhole in front of Bob's Burgers threatens the Belchers' plans for a successful summer, Bob and Linda try to keep their business going, while the kids attempt to save the restaurant by solving a mystery.","Animation, Adventure, Comedy","['Animation', 'Adventure', 'Comedy']","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
The Open House,A teenager and his mother find themselves besieged by threatening forces when they move into a new house.,"Horror, Thriller","['Horror', 'Thriller']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Cabin Fever,"While staying at a remote cabin for a week-long vacation, a group of five college friends succumb to an infectious, flesh-eating disease.","Horror, Sci-fi, Sci-fi, Thriller","['Horror', 'Sci-fi', 'Sci-fi', 'Thriller']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
Tammy and the T-Rex,"An evil scientist implants the brain of murdered high-school student Michael into a Tyrannosaurus. He escapes, wreaks vengeance on his high-school tormentors, and reunites with his sweetheart Tammy.","Comedy, Sci-fi, Sci-fi","['Comedy', 'Sci-fi', 'Sci-fi']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Wristcutters: A Love Story,A film set in a strange afterlife way station that has been reserved for people who have committed suicide.,"Comedy, Drama, Fantasy","['Comedy', 'Drama', 'Fantasy']","[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Magic of Belle Isle,"Monty Wildhorn, an alcoholic novelist of Westerns, has lost his drive. His nephew pushes him to summer in quiet Belle Isle. He begrudgingly befriends a newly single mom and her 3 girls who help him find the inspiration to write again.","Comedy, Drama","['Comedy', 'Drama']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Black Clover: Sword of the Wizard King,"In a world where magic is everything, Asta, a boy who was born with no magic, aims to become the ""Wizard King"" to overcome adversity, prove his power, and keep his oath with his friends.","Animation, Action, Adventure","['Animation', 'Action', 'Adventure']","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
L.A. Story,"With the help of a talking freeway billboard, a wacky weatherman tries to win the heart of an English newspaper reporter, who is struggling to make sense of the strange world of early 1990s Los Angeles.","Comedy, Drama, Fantasy","['Comedy', 'Drama', 'Fantasy']","[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Sleepaway Camp II: Unhappy Campers,"Angela, supposedly reformed and living under an assumed surname, is working at a summer camp. However, when the campers start misbehaving, she soon reverts to her old ways.","Comedy, Horror","['Comedy', 'Horror']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Love Exposure,"A bizarre love triangle forms between a young Catholic upskirt photographer, a misandric girl and a manipulative cultist.","Action, Comedy, Drama","['Action', 'Comedy', 'Drama']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The New Adventures of Pippi Longstocking,"After her father's ship is carried off by a sudden storm, the spunky Pippi Longstocking is stranded with her horse, Alfonso, and monkey, Mr. Nilsson, and takes up residence in the old family home, which is thought by neighborhood children to be haunted. Soon, two children, Tommy and Annika, venture into the house only to meet up with Pippi. The three soon become friends and get into various adventures together, including cleaning the floor with scrubbing shoes, dodging the ""splunks"", going down a river in barrels, and helping Pippi with the problem of having to go to a children's home. Older children will probably get the most out of this movie.","Adventure, Family, Fantasy","['Adventure', 'Family', 'Fantasy']","[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
All My Friends Hate Me,"Pete is cautiously excited about reuniting with his college crew for a birthday weekend. But, one by one, his friends slowly turn against him. Is he being punished, is he paranoid, or is he part of some sick joke?","Comedy, Horror","['Comedy', 'Horror']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Baby Mama,"A successful, single businesswoman who dreams of having a baby discovers she is infertile and hires a working class woman to be her unlikely surrogate.","Comedy, Romance","['Comedy', 'Romance']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Beastly,"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.","Drama, Fantasy, Romance","['Drama', 'Fantasy', 'Romance']","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Tuff Turf,The new kid in school must battle a gang of street toughs after stealing the gang leader's girl.,"Action, Comedy, Drama","['Action', 'Comedy', 'Drama']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Lords of War,"Yuri Orlov, the world's most famous arms dealer, discovers that he has a son, Anton who is trying to outdo his father by raising an army of mercenaries to fight in America's Middle Eastern conflicts, triggering a father-son rivalry.","Crime, Thriller","['Crime', 'Thriller']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Slaughterhouse Rulez,"An illustrious British boarding school becomes a bloody battleground when a mysterious sinkhole appears at a nearby fracking site, unleashing unspeakable horror.","Action, Comedy, Fantasy","['Action', 'Comedy', 'Fantasy']","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Life After Beth,"A young man's recently deceased girlfriend mysteriously returns from the dead, but he slowly realizes she is not the way he remembered her.","Comedy, Fantasy, Horror","['Comedy', 'Fantasy', 'Horror']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
She-Devil,A surprisingly resourceful housewife vows revenge on her husband when he begins an affair with a wealthy romance novelist.,Comedy,['Comedy'],"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Flag Day,"A father lives a double life as a counterfeiter, bank robber and con man in order to provide for his daughter.","Crime, Drama","['Crime', 'Drama']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Young Adam,A young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.,"Crime, Drama","['Crime', 'Drama']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Blind Date,"A workaholic needs a date for a dinner with new important clientele, but who his brother sets him up with could lead to disaster.","Comedy, Romance","['Comedy', 'Romance']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
Stand and Deliver,"The story of Jaime Escalante, a high school teacher who successfully inspired his dropout-prone students to learn calculus.","Biography, Drama","['Biography', 'Drama']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Sea Inside,"The factual story of Spaniard Ramon Sampedro, who fought a 28-year campaign in favor of euthanasia and his own right to die.","Biography, Drama","['Biography', 'Drama']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Stuff,"A delicious, mysterious goo that oozes from the earth is marketed as the newest dessert sensation, but the tasty treat rots more than teeth when zombie-like snackers who only want to consume more of the strange substance at any cost begin infesting the world.","Comedy, Horror, Sci-fi, Sci-fi","['Comedy', 'Horror', 'Sci-fi', 'Sci-fi']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
One Ranger,"Recruited by British intelligence, a Texas Ranger must track down and stop a dangerous terrorist from attacking London.","Action, Thriller","['Action', 'Thriller']","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
The Associate,A comedy about making it on Wall Street. Prejudices are hard to break and Laurel Ayres quickly learns that in order for people to take her seriously she has to work for an older white man or be one.,Comedy,['Comedy'],"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
A Bittersweet Life,Things go wrong for a high ranking mobster when he doesn't proceed by his boss's orders.,"Action, Crime, Drama","['Action', 'Crime', 'Drama']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
Victoria & Abdul,Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.,"Biography, Comedy, Drama","['Biography', 'Comedy', 'Drama']","[0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
